event, quantity
L1-dcache-load-misses, 5261087385
l2_rqsts.miss, 1026132601
cache-misses, 707626839
LLC-store-misses, 100
LLC-load-misses, 252068014
L1-dcache-stores, 163981563
L1-dcache-load-misses, 5299636040
l2_rqsts.miss, 1025027403
cache-misses, 707808017
LLC-store-misses, 115
LLC-load-misses, 260796033
L1-dcache-stores, 163658571
L1-dcache-load-misses, 5262380651
l2_rqsts.miss, 1024948257
cache-misses, 708014926
LLC-store-misses, 101
LLC-load-misses, 253681985
L1-dcache-stores, 164084028
L1-dcache-load-misses, 5259606250
l2_rqsts.miss, 1028250593
cache-misses, 706938246
LLC-store-misses, 117
LLC-load-misses, 251353451
L1-dcache-stores, 164150474
